0.0,RC0201FR-070RL,Yageo,19,Digi-Key,0.00334,820000,
1,RC0201FR-071RL,Yageo,12,Digi-Key,0.00502,10000,
1.1,RC0201FR-071R1L,Yageo,2,Digi-Key,0.00635,0,
1.21,RC0201FR-071R21L,Yageo,1,Digi-Key,0.00635,0,
1.3,RC0201FR-071R3L,Yageo,1,Digi-Key,0.00635,0,
1.5,RC0201FR-071R5L,Yageo / Phycomp,2,Digi-Key,0.00635,0,
1.65,RC0201FR-071R65L,Yageo,1,Digi-Key,0.00635,0,
2,RC0201FR-072RL,Yageo,3,Digi-Key,0.00635,0,
2.21,RC0201FR-072R21L,Yageo,1,Digi-Key,0.00635,0,
2.67,RC0201FR-072R67L,Yageo,1,Digi-Key,0.00635,0,
3.01,RC0201FR-073R01L,Yageo,1,Digi-Key,0.00635,0,
3.32,RC0201FR-073R32L,Yageo,1,Digi-Key,0.00635,0,
3.92,RC0201FR-073R92L,Yageo,1,Digi-Key,0.00635,0,
4.02,RC0201FR-074R02L,Yageo,1,Digi-Key,0.00635,0,
4.12,RC0201FR-074R12L,Yageo,1,Digi-Key,0.00635,0,
4.75,RC0201FR-074R75L,Yageo,1,Digi-Key,0.00635,0,
4.99,RC0201FR-074R99L,Yageo,2,Digi-Key,0.00635,0,
5.11,RC0201FR-075R11L,Yageo,1,Digi-Key,0.00635,0,
5.36,RC0201FR-075R36L,Yageo,1,Digi-Key,0.00635,0,
5.62,RC0201FR-075R62L,Yageo,1,Digi-Key,0.00635,0,
5.76,RC0201FR-075R76L,Yageo,3,Digi-Key,0.00635,0,
5.9,RC0201FR-075R9L,Yageo,1,Digi-Key,0.00635,0,
6.04,RC0201FR-076R04L,Yageo,1,Digi-Key,0.00635,0,
6.34,RC0201FR-076R34L,Yageo,1,Digi-Key,0.00635,0,
6.81,RC0201FR-076R81L,Yageo,1,Digi-Key,0.00635,0,
6.98,RC0201FR-076R98L,Yageo,1,Digi-Key,0.00635,0,
7.32,RC0201FR-077R32L,Yageo,1,Digi-Key,0.00635,0,
8.06,RC0201FR-078R06L,Yageo,1,Digi-Key,0.00635,0,
8.25,RC0201FR-078R25L,Yageo,1,Digi-Key,0.00635,0,
8.66,RC0201FR-078R66L,Yageo,2,Digi-Key,0.00635,0,
9.09,RC0201FR-079R09L,Yageo,1,Digi-Key,0.00635,0,
10,RC0201FR-0710RL,Yageo,20,Digi-Key,0.00446,450000,
10.2,RC0201FR-0710R2L,Yageo,5,Digi-Key,0.00446,20000,
10.5,RC0201FR-0710R5L,Yageo,6,Digi-Key,0.00446,10000,
10.7,RC0201FR-0710R7L,Yageo,3,Digi-Key,0.00446,10000,
11,RC0201FR-0711RL,Yageo,4,Digi-Key,0.00334,10000,
11.3,RC0201FR-0711R3L,Yageo,3,Digi-Key,0.00334,10000,
11.5,RC0201FR-0711R5L,Yageo,5,Digi-Key,0.00334,10000,
11.8,RC0201FR-0711R8L,Yageo,3,Digi-Key,0.00334,10000,
